Datetime,CL=F,TSLA
2022-10-13 10:55:00-04:00,87.69000244140625,209.77000427246094
2022-10-13 10:56:00-04:00,87.72000122070312,210.25
2022-10-13 10:57:00-04:00,87.76000213623047,210.27999877929688
2022-10-13 10:58:00-04:00,87.58999633789062,209.82009887695312
2022-10-13 10:59:00-04:00,87.56999969482422,209.44000244140625
2022-10-13 11:00:00-04:00,87.4000015258789,209.2899932861328
2022-10-13 11:01:00-04:00,87.48999786376953,208.9550018310547
2022-10-13 11:02:00-04:00,87.43000030517578,208.91000366210938
2022-10-13 11:03:00-04:00,87.41000366210938,209.2100067138672
2022-10-13 11:04:00-04:00,87.51000213623047,209.63999938964844
2022-10-13 11:05:00-04:00,87.56999969482422,210.19000244140625
2022-10-13 11:06:00-04:00,87.83000183105469,210.4550018310547
