R,C1,C2,P1,P2
1.135067423,0.207159646,0.00387216,0.263697013,0.094114593
1.125224883,0.241337279,0.005097419,0.262034825,0.066908244
1.110682348,0.285282642,0.00701072,0.275673893,0.047713292
1.094039556,0.331490523,0.009928688,0.307863549,0.03418543
1.079895734,0.363949154,0.014337992,0.360703486,0.024666203
1.076058873,0.359376889,0.020998273,0.430063859,0.01798459
1.089273912,0.302186191,0.031140227,0.495515685,0.013316652
1.11517992,0.21106713,0.046777616,0.517181135,0.010086712
1.137320615,0.132980243,0.071071175,0.469598604,0.007897399
1.144737601,0.090624992,0.108764436,0.379055633,0.006480886
1.137454869,0.075774206,0.166891281,0.28761929,0.005668634
1.116225804,0.078655996,0.255744279,0.21540456,0.005378121
1.077608077,0.096801834,0.389738199,0.165344534,0.005616115
1.012876422,0.133226271,0.587113439,0.134698701,0.006502286
0.905731085,0.193512591,0.86499668,0.12055603,0.008321453
0.726943651,0.277921527,1.218052211,0.121650174,0.01161157
0.429955677,0.352058503,1.536374228,0.137563686,0.017249554
0.096273155,0.282146234,1.37692514,0.158610828,0.026090231
0.042645797,0.122088241,0.795111484,0.150127127,0.036625238
0.247414627,0.062909008,0.518938444,0.11463757,0.045217012
0.926185886,0.076875982,0.624277854,0.083774658,0.054180443
0.924410798,0.123860257,0.87723827,0.065995939,0.06995243
0.776039734,0.201810042,1.19118018,0.058909614,0.097514867
0.532373762,0.304684805,1.477428068,0.061019065,0.143890551
0.203198003,0.350646511,1.436501408,0.070675043,0.217187511
0.07035835,0.233757932,0.855860037,0.077921131,0.310278499
0.277909098,0.157982735,0.449563443,0.072732748,0.381355564
0.953222778,0.221864701,0.366619796,0.067299806,0.420629916
0.987547512,0.384446739,0.324901119,0.073656049,0.449171852
0.903979672,0.660576844,0.268099948,0.099818543,0.462162601
0.740787633,1.063430972,0.202234465,0.165236857,0.450586565
0.462038664,1.429603784,0.134901871,0.314953845,0.409864685
0.20530878,1.178204601,0.071723505,0.617509377,0.34292405
0.511841934,0.473014785,0.039061872,0.992708889,0.265717822
1.125572784,0.091837396,0.036225929,1.002825593,0.200644889
1.183093363,0.015766094,0.040544676,0.685387773,0.15188991
1.186388609,0.005944724,0.049460263,0.428127364,0.116298162
1.183929346,0.004274426,0.064095222,0.263634786,0.090796166
1.178804915,0.004643286,0.086724041,0.162080554,0.0729828
1.170517416,0.006501019,0.120928064,0.099987705,0.061119688
1.157563845,0.010612717,0.172015304,0.062237363,0.054069312
1.137358064,0.018971797,0.247528405,0.039456797,0.051266972
1.105596261,0.035675683,0.357598042,0.025920225,0.052770063
1.055002338,0.068642932,0.514437774,0.01818691,0.059429436
0.972884042,0.132082942,0.728971192,0.014285848,0.073241764
